model,protocol,MAE,RMSE,MAPE,medAPE,range_km_MAE,n_test,seed
ridge,L1,24.73097538189086,31.749683877156265,17.240683514654158,13.181986810132615,22.541889286188685,593,1
random_forest,L1,24.76771419380392,33.44651107866198,17.56103776627497,12.502387539307472,22.415585066927274,593,1
gbm,L1,22.612247091793492,30.809227355718075,15.860313166627543,11.425083549637598,20.15101858206922,593,1
hybrid_physics_ml,L1,18.451844607066263,26.214471744281454,12.4806412037391,9.071001971054512,16.895731363695713,593,1
rated_range,L2,48.046111176331,64.07997105595074,24.190466964796823,18.23735240925694,20.190094949099002,65,1
physics_only,L2,48.426894452575915,58.89192017207756,21.32857930548405,22.203731075766854,24.350606767461056,65,1
ridge,L2,28.362974948418344,36.00300571036438,14.106791220943993,14.14088935255024,13.538639236681652,65,1
random_forest,L2,64.21708228758432,81.68587343330236,27.511378957335893,25.868395344000632,33.18171754728308,65,1
gbm,L2,51.782960164420395,68.12851705564971,22.369983167547133,22.11839916493588,25.734281461847814,65,1
hybrid_physics_ml,L2,29.786937715237283,35.34109661782073,14.080840273510958,12.861662762204922,15.702183002049026,65,1
rated_range,L3,64.38796833568242,76.43405348169276,56.594137866527106,37.55473018602103,47.986834127423066,480,1
physics_only,L3,35.211885727184715,48.48698652120515,22.537168281430784,18.446238016879573,32.25119652212659,480,1
ridge,L3,38.32738489539059,47.48173525887424,26.825452588881525,22.532671048192327,34.54778912501106,480,1
random_forest,L3,43.69745408784544,53.09348853749848,33.17666876588968,25.775229635567765,37.99152169193287,480,1
gbm,L3,40.22892969213548,50.19295539717005,30.242047484579004,22.540079688777862,34.18630939747897,480,1
hybrid_physics_ml,L3,33.99248904772641,41.89982267309593,24.24526413102038,19.78681291996943,29.721739756293964,480,1
rated_range,L3b,64.38796833568242,76.43405348169276,56.594137866527106,37.55473018602103,47.986834127423066,480,1
physics_only,L3b,35.211885727184715,48.48698652120515,22.537168281430784,18.446238016879573,32.25119652212659,480,1
ridge,L3b,38.27673422682022,48.33847471793559,26.49181918604811,21.680888944073146,35.98604207048949,480,1
random_forest,L3b,45.151855002507666,55.10272113058003,33.41461159342373,26.075311118709067,39.1310542569083,480,1
gbm,L3b,42.777323136349516,53.3717144821104,31.297131876089622,23.48235790037928,35.77539111914043,480,1
hybrid_physics_ml,L3b,31.96807134580206,40.36998241587827,21.898873863897396,18.53195818052027,27.56852063331133,480,1
rated_range,L0,61.24491156821139,72.4089845788206,51.565666163162675,36.09578701685625,44.29895460688859,600,2
physics_only,L0,32.28567042276847,43.484943457744485,20.315939479635,16.930620418852772,29.289515067706706,600,2
ridge,L0,24.821113637535177,34.554678826779615,17.542586580598822,12.588057872516991,23.806214100433646,600,2
random_forest,L0,23.768460879291265,33.600534769659866,16.955706036933673,11.841671939000909,21.53842690296174,600,2
gbm,L0,21.98423958219377,31.74367403529692,15.691046913425852,10.89198528859633,20.081955584373084,600,2
hybrid_physics_ml,L0,16.300452004402334,21.73317566460792,11.106669238263777,8.63841556419936,15.086808552008515,600,2
rated_range,L1,65.7735855212425,79.80539581740288,57.612889633689605,35.183840163620175,50.12632936421324,706,2
physics_only,L1,40.211934326018934,54.31352417880717,24.810687474930873,21.511120541261956,36.11795979422796,706,2
ridge,L1,30.075345373106106,42.55226550906553,20.51286165584876,14.75751952344826,27.311227637491317,706,2
random_forest,L1,31.948282660410943,46.552278303942195,21.611436979762477,15.873728554795477,29.24684536279389,706,2
gbm,L1,27.42071199381427,40.46069742648725,18.501938057256055,12.856812665794354,24.711476929362302,706,2
hybrid_physics_ml,L1,21.31895603759969,32.326112421346814,13.754930333741749,9.96229205848337,20.86990717174085,706,2
rated_range,L2,61.08720536677679,73.3909700482881,42.37452932897397,32.85692478697283,31.313942249256158,43,2
physics_only,L2,40.71427724313806,68.36096687194126,19.133807331721005,15.561245919966884,25.25803169277766,43,2
ridge,L2,38.413390633036734,51.3260843935692,22.647288759141716,15.57145472026606,18.04634907772854,43,2
random_forest,L2,38.898900940715066,60.82807471131369,18.713733666645496,14.689020193183103,21.329208924421916,43,2
gbm,L2,33.910560271718346,53.11739852955546,17.254269700609285,17.209741552881063,17.45794545218763,43,2
hybrid_physics_ml,L2,27.32879122484586,52.210634949311064,13.83160570588865,10.235881205766702,16.95231523119626,43,2
rated_range,L3,64.38796833568242,76.43405348169276,56.594137866527106,37.55473018602103,47.986834127423066,480,2
physics_only,L3,35.211885727184715,48.48698652120515,22.537168281430784,18.446238016879573,32.25119652212659,480,2
ridge,L3,38.32738489539059,47.48173525887424,26.825452588881525,22.532671048192327,34.54778912501106,480,2
random_forest,L3,43.907134274882175,53.40644578182012,33.26777157321869,25.795105882924318,38.154852836438145,480,2
gbm,L3,40.22892969213548,50.19295539717005,30.242047484579004,22.540079688777862,34.18630939747897,480,2
hybrid_physics_ml,L3,33.99248904772641,41.89982267309593,24.24526413102038,19.78681291996943,29.721739756293964,480,2
rated_range,L3b,64.38796833568242,76.43405348169276,56.594137866527106,37.55473018602103,47.986834127423066,480,2
physics_only,L3b,35.211885727184715,48.48698652120515,22.537168281430784,18.446238016879573,32.25119652212659,480,2
ridge,L3b,38.27673422682022,48.33847471793559,26.49181918604811,21.680888944073146,35.98604207048949,480,2
random_forest,L3b,44.76436404977346,54.68544089521304,33.15215367138098,26.1995519885022,39.061968424252974,480,2
gbm,L3b,42.777323136349516,53.3717144821104,31.297131876089622,23.48235790037928,35.77539111914043,480,2
hybrid_physics_ml,L3b,31.96807134580206,40.36998241587827,21.898873863897396,18.53195818052027,27.56852063331133,480,2
rated_range,L0,62.410170161723215,73.96840565126507,53.79931200969612,36.890838222243836,45.649252868303655,600,3
physics_only,L0,36.136461694931626,49.82766287821297,22.378489460048147,19.767053453430186,31.344624470934882,600,3
ridge,L0,25.23986324074163,34.516198834617576,17.83914390967749,13.079894276207128,22.95143882341859,600,3
random_forest,L0,24.559647762450695,33.94852029426496,17.301308536744177,12.293004132391863,22.277199702236192,600,3
gbm,L0,22.619649534162583,31.432458002885475,15.89565076964457,11.434727436826881,20.60688266722849,600,3
hybrid_physics_ml,L0,17.061011370247698,26.70319066322698,11.335706097729254,8.865771921203644,15.601336548092771,600,3
rated_range,L1,66.66621052358971,77.00345732263453,64.79860235872935,42.1173628969467,54.416406398386115,505,3
physics_only,L1,31.45074937866919,43.947134510145574,23.279828700560476,17.60588351999594,33.802185079137026,505,3
ridge,L1,25.0060661744451,33.598192760840945,20.132361700026877,13.678989314007273,29.205401981006766,505,3
random_forest,L1,24.2631654746208,32.89658622183937,20.418658490218288,12.3394018172117,27.99488686170654,505,3
gbm,L1,22.195961492380384,31.11939376853764,18.512717590888943,11.899135597789758,25.90328471220611,505,3
hybrid_physics_ml,L1,18.333749754415273,28.1976376523361,13.838097263863533,9.332842762624015,20.408534266107573,505,3
rated_range,L2,47.46545541834626,61.68744089288136,35.850714573246925,18.557586018429927,29.23663688480264,38,3
physics_only,L2,31.890018584590518,43.30823485889847,17.980299342316428,16.329058037152873,21.77978612060229,38,3
ridge,L2,32.90758678988419,39.92655976654778,19.899522744591952,16.709269900808778,18.182955070871866,38,3
random_forest,L2,33.562576508174466,45.960676888489076,18.99342328713406,18.634000761969887,24.76738413152894,38,3
gbm,L2,29.520492585175845,38.184004983305414,17.15642330279513,15.68667398349789,22.923701874823855,38,3
hybrid_physics_ml,L2,19.874223384939313,23.25558478297362,12.724482094980939,10.12937363571024,16.529716742462746,38,3
rated_range,L3,64.38796833568242,76.43405348169276,56.594137866527106,37.55473018602103,47.986834127423066,480,3
physics_only,L3,35.211885727184715,48.48698652120515,22.537168281430784,18.446238016879573,32.25119652212659,480,3
ridge,L3,38.32738489539059,47.48173525887424,26.825452588881525,22.532671048192327,34.54778912501106,480,3
random_forest,L3,43.59712077448051,52.99228725842957,33.019938711123764,25.3031347755979,37.92765929983924,480,3
gbm,L3,40.22892969213548,50.19295539717005,30.242047484579004,22.540079688777862,34.18630939747897,480,3
hybrid_physics_ml,L3,33.99248904772641,41.89982267309593,24.24526413102038,19.78681291996943,29.721739756293964,480,3
rated_range,L3b,64.38796833568242,76.43405348169276,56.594137866527106,37.55473018602103,47.986834127423066,480,3
physics_only,L3b,35.211885727184715,48.48698652120515,22.537168281430784,18.446238016879573,32.25119652212659,480,3
ridge,L3b,38.27673422682022,48.33847471793559,26.49181918604811,21.680888944073146,35.98604207048949,480,3
random_forest,L3b,44.49206264178653,54.43412775346109,33.02194801133903,25.94579874208304,38.72893028270347,480,3
gbm,L3b,42.777323136349516,53.3717144821104,31.297131876089622,23.48235790037928,35.77539111914043,480,3
hybrid_physics_ml,L3b,31.96807134580206,40.36998241587827,21.898873863897396,18.53195818052027,27.56852063331133,480,3
rated_range,L0,65.0345798423362,78.48834390275921,57.65657818200458,37.46197326169363,48.93357829879755,600,4
physics_only,L0,37.73346734761526,50.84228678281825,24.240152073475073,20.344360175747944,35.598433351235784,600,4
ridge,L0,25.596973325585395,36.806826910772756,18.351298136776453,12.0361783208558,25.194276982501634,600,4
random_forest,L0,25.998339596806495,37.85573230224339,18.380665799453226,12.213079924440759,24.089879575584355,600,4
gbm,L0,22.876559825535207,33.871188980751626,15.654778007980644,10.59447860184331,21.00515074130152,600,4
hybrid_physics_ml,L0,17.31747603425751,25.856448148835504,11.786220209869711,8.758994630566743,18.105604193866498,600,4
rated_range,L1,64.28065153114498,76.59633299026747,56.15920973425433,37.93965689690594,48.3146903218671,559,4
physics_only,L1,35.767058599259094,49.91974503088374,22.732640038741625,19.58787566471424,32.48607168892749,559,4
ridge,L1,26.954667669669067,36.90086811514369,19.21988929012819,14.312928502452971,25.348182195461607,559,4
random_forest,L1,27.201422587887766,39.098450382018,19.580321264708083,13.893920814419907,25.41646896854494,559,4
gbm,L1,24.75336489178882,35.49217946972781,17.74074532208462,12.00118683036947,23.034218724093343,559,4
hybrid_physics_ml,L1,18.64178458312638,29.029569421808354,12.896763434977418,9.232799654629266,18.651013156116626,559,4
rated_range,L2,49.767683465428746,58.142625690688256,35.17342516642924,22.465266892621305,26.6048659082401,50,4
physics_only,L2,30.613170631093016,37.92758328039982,16.528869030791192,15.846199327396201,19.10892779604359,50,4
ridge,L2,37.07599471098981,45.04367640678945,20.74229605409011,18.942390302716955,17.259960552364333,50,4
random_forest,L2,37.74377033724802,51.77104437456861,19.30967742571277,14.741834534371904,21.21957707245492,50,4
gbm,L2,32.32881893293676,42.98837880725421,16.656725653953284,15.02974653614692,16.823726693869602,50,4
hybrid_physics_ml,L2,19.29348364169693,23.862506559947153,10.917776725407563,9.343692994758534,13.025797035451253,50,4
rated_range,L3,64.38796833568242,76.43405348169276,56.594137866527106,37.55473018602103,47.986834127423066,480,4
physics_only,L3,35.211885727184715,48.48698652120515,22.537168281430784,18.446238016879573,32.25119652212659,480,4
ridge,L3,38.32738489539059,47.48173525887424,26.825452588881525,22.532671048192327,34.54778912501106,480,4
random_forest,L3,43.7843419453581,53.28130315970868,33.2406989707751,25.16472065477071,37.944178304977534,480,4
gbm,L3,40.22892969213548,50.19295539717005,30.242047484579004,22.540079688777862,34.18630939747897,480,4
hybrid_physics_ml,L3,33.99248904772641,41.89982267309593,24.24526413102038,19.78681291996943,29.721739756293964,480,4
rated_range,L3b,64.38796833568242,76.43405348169276,56.594137866527106,37.55473018602103,47.986834127423066,480,4
physics_only,L3b,35.211885727184715,48.48698652120515,22.537168281430784,18.446238016879573,32.25119652212659,480,4
ridge,L3b,38.27673422682022,48.33847471793559,26.49181918604811,21.680888944073146,35.98604207048949,480,4
random_forest,L3b,44.80414386760472,54.82592100321912,33.19874201863929,25.48024720263721,38.91754138325955,480,4
gbm,L3b,42.777323136349516,53.3717144821104,31.297131876089622,23.48235790037928,35.77539111914043,480,4
hybrid_physics_ml,L3b,31.96807134580206,40.36998241587827,21.898873863897396,18.53195818052027,27.56852063331133,480,4
